date,rain_mm,temp_c,humid_pct,press_hpa
2022-02-14,0.6,27.53,85.89,1006.9
2022-02-15,0.0,27.54,86.76,1007.0999999999999
2022-02-16,0.0,27.39,86.5,1007.2
2022-02-17,0.0,27.37,86.45,1005.9000000000001
2022-02-18,0.0,27.83,84.76,1005.5
2022-02-19,0.0,27.72,87.55,1006.8000000000001
2022-02-20,0.0,27.88,83.59,1007.6999999999999
2022-02-21,0.0,27.64,86.71,1007.5
2022-02-22,0.0,27.86,85.95,1007.4
2022-02-23,0.0,28.02,85.16,1007.9000000000001
2022-02-24,0.0,28.0,85.6,1007.5
2022-02-25,0.02,27.84,87.6,1007.0999999999999
2022-02-26,0.02,27.82,88.04,1006.4
2022-02-27,0.02,27.69,85.88,1007.0
2022-02-28,0.02,27.72,84.53,1007.0999999999999
2022-03-01,0.02,27.84,85.39,1006.7
2022-03-02,1.98,27.71,86.38,1006.7
2022-03-03,1.64,27.52,87.35,1006.5
2022-03-04,3.84,27.25,88.38,1006.5999999999999
2022-03-05,0.48,27.48,82.95,1006.3
2022-03-06,1.21,27.42,86.32,1005.9000000000001
2022-03-07,0.8,27.56,85.88,1005.1999999999999
2022-03-08,0.63,27.91,85.22,1004.4
2022-03-09,1.35,28.04,85.42,1004.3000000000001
2022-03-10,4.21,27.88,84.29,1004.7
2022-03-11,0.8,28.0,84.35,1005.6999999999999
2022-03-12,4.09,27.51,88.04,1006.2
2022-03-13,9.8,27.8,84.16,1005.8
2022-03-14,3.33,27.8,85.89,1006.0
2022-03-15,1.9,27.91,88.51,1006.7
2022-03-16,0.81,28.12,84.39,1006.7
2022-03-17,1.07,28.02,86.46,1006.0
2022-03-18,0.85,28.27,85.05,1006.0
2022-03-19,1.06,27.91,87.55,1006.4
2022-03-20,2.01,27.91,87.61,1007.0
2022-03-21,1.92,27.61,88.0,1006.5999999999999
2022-03-22,0.48,27.69,88.61,1006.3
2022-03-23,0.32,28.1,86.3,1006.8000000000001
2022-03-24,0.52,27.84,87.85,1006.2
2022-03-25,0.4,27.71,88.36,1005.8
2022-03-26,0.17,27.86,87.54,1005.6999999999999
2022-03-27,0.64,28.5,84.52,1007.2
2022-03-28,0.83,28.23,86.52,1007.0999999999999
2022-03-29,1.33,28.04,86.47,1005.8
2022-03-30,1.92,28.01,86.64,1004.5999999999999
2022-03-31,2.45,28.15,88.32,1005.0
2022-04-01,6.15,27.81,88.23,1006.7
2022-04-02,4.07,27.25,86.72,1007.2
2022-04-03,2.58,27.69,85.75,1006.5999999999999
2022-04-04,2.18,27.5,87.9,1006.9
2022-04-05,3.4,27.88,85.54,1007.3000000000001
2022-04-06,2.43,27.56,88.17,1006.8000000000001
2022-04-07,2.43,27.42,89.56,1007.0
2022-04-08,3.54,27.73,88.08,1006.7
2022-04-09,2.87,27.07,87.28,1006.5999999999999
2022-04-10,0.53,27.22,85.56,1005.6
2022-04-11,1.95,27.51,86.3,1005.8
2022-04-12,7.06,27.31,88.09,1006.3
2022-04-13,3.34,26.67,87.17,1006.3
2022-04-14,2.64,26.68,84.81,1006.7
2022-04-15,3.25,26.22,86.75,1007.6
2022-04-16,12.9,27.23,84.99,1007.3000000000001
2022-04-17,14.39,27.18,89.31,1006.7
2022-04-18,10.68,27.1,81.35,1008.0
2022-04-19,3.47,27.07,83.78,1008.7
2022-04-20,38.48,27.21,86.41,1008.1
2022-04-21,5.05,27.04,85.88,1007.0
2022-04-22,3.12,27.43,85.02,1006.3
2022-04-23,14.51,27.31,89.17,1006.2
2022-04-24,5.65,27.07,87.67,1006.2
2022-04-25,7.66,27.16,86.64,1005.9000000000001
2022-04-26,12.8,27.19,89.12,1005.6999999999999
2022-04-27,21.34,26.79,89.83,1006.9
2022-04-28,8.74,26.84,83.5,1007.5
2022-04-29,12.36,26.64,84.8,1008.1
2022-04-30,8.22,26.83,86.36,1009.0999999999999
2022-05-01,8.84,27.17,87.45,1009.4
2022-05-02,4.71,27.01,88.73,1008.6
2022-05-03,5.82,27.24,85.8,1007.8
2022-05-04,5.61,27.07,87.58,1008.5
2022-05-05,10.47,27.27,88.85,1008.8
2022-05-06,1.88,26.65,88.51,1009.0
2022-05-07,1.45,26.95,85.87,1007.9000000000001
2022-05-08,1.27,27.21,87.68,1007.0
2022-05-09,6.37,27.26,89.23,1007.8
2022-05-10,1.2,27.82,82.89,1008.0
2022-05-11,1.67,27.68,85.16,1008.3
2022-05-12,0.9,27.3,87.09,1008.8
2022-05-13,0.94,27.68,85.77,1008.6
2022-05-14,1.75,27.59,87.63,1008.1
2022-05-15,1.58,27.44,87.9,1009.0
2022-05-16,2.58,27.66,88.24,1008.9
2022-05-17,4.18,27.22,90.41,1008.3
2022-05-18,1.91,27.35,88.16,1007.3000000000001
2022-05-19,6.85,27.04,89.59,1008.4000000000001
2022-05-20,3.72,27.53,85.49,1009.5999999999999
2022-05-21,12.47,26.95,90.11,1010.6
2022-05-22,7.25,26.41,87.66,1011.0
2022-05-23,6.28,26.33,83.92,1010.5
2022-05-24,2.43,26.61,84.84,1010.3
2022-05-25,6.42,26.9,84.52,1011.5999999999999
2022-05-26,2.78,26.36,88.22,1012.2
2022-05-27,2.35,26.36,86.52,1011.4
2022-05-28,1.19,26.7,85.92,1009.7
2022-05-29,0.69,27.08,85.79,1008.8
2022-05-30,2.28,27.29,85.47,1008.1999999999999
2022-05-31,5.57,26.61,89.96,1008.5
2022-06-01,4.06,26.74,86.82,1007.8
2022-06-02,2.92,27.26,87.17,1006.3
2022-06-03,4.46,27.22,89.47,1006.9
2022-06-04,7.3,26.69,88.2,1008.3
2022-06-05,7.03,26.42,84.65,1009.0
2022-06-06,13.79,26.62,82.92,1009.7
2022-06-07,9.91,26.72,83.63,1009.8000000000001
2022-06-08,23.42,26.39,87.96,1009.2
2022-06-09,30.36,26.51,89.47,1008.1
2022-06-10,8.26,26.66,89.85,1008.1
2022-06-11,21.31,25.78,92.07,1009.4
2022-06-12,0.79,26.43,86.28,1010.1
2022-06-13,1.41,26.72,86.04,1009.3000000000001
2022-06-14,5.71,26.97,87.71,1008.1999999999999
2022-06-15,25.43,26.37,91.72,1008.4000000000001
2022-06-16,33.99,25.66,93.48,1008.4000000000001
2022-06-17,28.83,25.18,88.77,1010.0
2022-06-18,10.77,25.57,88.71,1010.3
2022-06-19,7.32,25.86,89.29,1010.4000000000001
2022-06-20,5.22,25.84,88.92,1010.5
2022-06-21,18.61,25.44,91.34,1010.1
2022-06-22,17.04,25.33,87.83,1009.3000000000001
2022-06-23,1.55,25.7,88.16,1009.5999999999999
2022-06-24,8.89,25.95,91.03,1009.0999999999999
2022-06-25,15.78,25.82,89.68,1008.9
2022-06-26,10.18,25.97,89.54,1009.7
2022-06-27,8.78,26.01,89.57,1010.3
2022-06-28,7.02,25.82,90.24,1010.5
2022-06-29,14.64,25.67,91.79,1010.6999999999999
2022-06-30,27.74,25.44,87.38,1010.3
2022-07-01,11.34,25.19,88.81,1010.1999999999999
2022-07-02,5.42,25.9,86.58,1011.5
2022-07-03,1.98,25.99,84.95,1011.5999999999999
2022-07-04,11.35,25.71,90.32,1010.8
2022-07-05,12.7,25.42,91.13,1010.6999999999999
2022-07-06,3.41,26.05,88.22,1010.5
2022-07-07,5.77,26.21,89.89,1010.4000000000001
2022-07-08,50.06,25.75,91.76,1010.8
2022-07-09,20.07,25.53,91.37,1011.3
2022-07-10,11.31,25.62,89.46,1010.0
2022-07-11,9.45,25.48,88.77,1009.2
2022-07-12,5.68,25.6,87.47,1010.8
2022-07-13,5.56,25.45,88.84,1011.1
2022-07-14,7.86,25.24,90.54,1009.7
2022-07-15,1.67,25.45,88.8,1009.0999999999999
2022-07-16,1.92,25.55,88.24,1009.5
2022-07-17,1.45,25.65,86.97,1010.8
2022-07-18,0.71,25.41,85.66,1011.0
2022-07-19,0.51,25.19,84.78,1010.5
2022-07-20,7.06,24.81,84.87,1009.9
2022-07-21,13.61,25.12,85.31,1009.5999999999999
2022-07-22,18.86,25.21,86.63,1009.4
2022-07-23,30.43,25.3,88.17,1009.3000000000001
2022-07-24,23.32,25.48,87.95,1009.9
2022-07-25,2.17,25.28,90.17,1009.8000000000001
2022-07-26,17.18,24.95,92.34,1009.5
2022-07-27,11.6,25.27,90.36,1009.0
2022-07-28,16.7,24.88,91.32,1010.1
2022-07-29,2.21,25.15,88.1,1010.6999999999999
2022-07-30,1.39,24.76,89.85,1011.1
2022-07-31,1.86,24.71,90.19,1010.6
2022-08-01,2.4,24.48,89.97,1010.5
2022-08-02,0.33,24.31,85.51,1010.8
2022-08-03,0.28,24.56,85.75,1009.4
2022-08-04,0.34,24.51,87.24,1009.5999999999999
2022-08-05,0.14,24.69,85.84,1010.5
2022-08-06,0.24,24.61,86.07,1010.6999999999999
2022-08-07,0.14,24.72,86.65,1009.5
2022-08-08,0.89,24.87,87.75,1009.4
2022-08-09,1.01,24.89,88.1,1009.9
2022-08-10,1.2,24.88,88.19,1010.1
2022-08-11,1.58,24.67,90.01,1010.0
2022-08-12,2.47,24.71,90.89,1009.8000000000001
2022-08-13,4.09,24.75,91.21,1010.1
2022-08-14,31.02,24.47,92.34,1008.5
2022-08-15,9.42,24.21,91.19,1008.7
2022-08-16,2.0,24.72,86.64,1010.0
2022-08-17,0.19,24.94,84.45,1010.1
2022-08-18,1.74,25.09,89.53,1009.4
2022-08-19,27.67,24.46,92.37,1009.9
2022-08-20,4.02,24.76,88.77,1011.2
2022-08-21,0.36,24.93,85.98,1010.1999999999999
2022-08-22,4.94,24.7,90.99,1008.5
2022-08-23,10.9,24.53,92.52,1009.3000000000001
2022-08-24,3.01,24.8,88.76,1011.8000000000001
2022-08-25,0.97,25.21,87.27,1010.9000000000001
2022-08-26,22.76,24.9,90.77,1008.9
2022-08-27,17.84,24.83,89.36,1008.1999999999999
2022-08-28,1.33,25.11,86.53,1009.5999999999999
2022-08-29,2.13,25.07,88.09,1009.8000000000001
2022-08-30,15.27,24.99,92.47,1008.3
2022-08-31,6.48,25.15,90.2,1009.0999999999999
2022-09-01,2.88,25.12,88.63,1010.1
2022-09-02,3.55,25.22,88.24,1011.5
2022-09-03,10.68,25.44,90.1,1011.5999999999999
2022-09-04,15.36,25.38,90.26,1011.7
2022-09-05,10.0,25.3,89.63,1011.7
2022-09-06,11.88,25.09,90.48,1011.0
2022-09-07,8.34,25.24,90.12,1009.7
2022-09-08,4.02,25.36,89.33,1009.0
2022-09-09,2.62,25.46,88.55,1009.7
2022-09-10,2.37,25.54,86.36,1011.2
2022-09-11,11.29,25.26,90.47,1010.1999999999999
2022-09-12,16.8,25.1,91.21,1009.2
2022-09-13,3.12,25.51,88.18,1009.2
2022-09-14,3.06,25.72,87.65,1008.8
2022-09-15,9.43,25.1,93.15,1009.7
2022-09-16,5.5,25.39,90.23,1010.0
2022-09-17,4.49,25.12,91.04,1009.0
2022-09-18,18.96,25.37,90.46,1008.7
2022-09-19,13.53,25.19,91.05,1008.8
2022-09-20,5.1,25.24,89.26,1009.4
2022-09-21,16.42,25.58,89.7,1009.7
2022-09-22,33.67,25.22,93.53,1008.8
2022-09-23,11.69,25.44,91.51,1009.4
2022-09-24,24.62,25.43,90.09,1009.0999999999999
2022-09-25,12.82,25.29,88.93,1008.7
2022-09-26,22.77,25.12,90.01,1009.2
2022-09-27,11.46,25.1,90.61,1010.1999999999999
2022-09-28,8.35,24.69,91.45,1010.1
2022-09-29,4.52,24.95,89.35,1009.5999999999999
2022-09-30,19.43,25.65,89.69,1008.6
2022-10-01,4.55,25.51,89.71,1010.1999999999999
2022-10-02,4.76,25.25,90.15,1011.1
2022-10-03,0.44,25.68,88.49,1009.5999999999999
2022-10-04,0.88,25.95,88.6,1008.3
2022-10-05,1.69,26.01,88.49,1008.6
2022-10-06,4.02,25.76,90.7,1008.9
2022-10-07,9.0,25.52,90.4,1009.3000000000001
2022-10-08,5.39,26.02,85.88,1008.9
2022-10-09,17.31,25.57,92.43,1009.0
2022-10-10,4.86,25.67,84.79,1010.5
2022-10-11,2.27,25.95,86.32,1009.7
2022-10-12,3.76,26.16,89.14,1008.1
2022-10-13,10.74,25.95,89.96,1008.4000000000001
2022-10-14,3.41,26.12,86.5,1009.3000000000001
2022-10-15,9.12,25.71,91.09,1008.8
2022-10-16,8.48,25.82,90.06,1008.7
2022-10-17,2.45,26.48,87.08,1009.3000000000001
2022-10-18,34.33,26.63,89.04,1009.9
2022-10-19,28.34,26.21,91.59,1009.0
2022-10-20,22.35,26.48,88.32,1008.1
2022-10-21,14.11,26.72,86.63,1008.1
2022-10-22,21.57,26.96,85.35,1008.8
2022-10-23,5.38,26.95,87.79,1009.3000000000001
2022-10-24,3.26,26.53,88.42,1008.8
2022-10-25,5.72,26.12,88.76,1008.4000000000001
2022-10-26,3.02,26.86,87.03,1007.9000000000001
2022-10-27,3.82,27.42,87.03,1008.1999999999999
2022-10-28,3.02,26.98,89.19,1008.3
2022-10-29,2.19,26.96,86.34,1008.1999999999999
2022-10-30,1.03,27.12,84.54,1007.4
2022-10-31,1.36,27.46,83.98,1007.6
2022-11-01,3.16,27.19,86.9,1008.7
2022-11-02,0.77,26.82,87.42,1008.7
2022-11-03,1.55,26.96,87.66,1008.6
2022-11-04,2.24,27.08,85.95,1008.4000000000001
2022-11-05,2.66,26.83,87.42,1008.9
2022-11-06,1.65,27.3,84.17,1009.4
2022-11-07,1.23,27.04,84.85,1009.0999999999999
2022-11-08,1.92,27.58,85.68,1008.3
2022-11-09,2.46,27.42,86.5,1008.9
2022-11-10,3.15,27.14,88.78,1008.1999999999999
2022-11-11,1.94,26.98,87.28,1008.3
2022-11-12,1.41,26.62,87.89,1009.2
2022-11-13,1.38,26.74,86.53,1009.4
2022-11-14,0.63,26.81,85.58,1009.3000000000001
2022-11-15,0.82,26.79,86.21,1009.2
2022-11-16,0.81,26.17,86.84,1008.8
2022-11-17,0.62,26.7,85.4,1008.1
2022-11-18,0.27,27.18,83.63,1007.5
2022-11-19,0.75,27.12,85.22,1008.8
2022-11-20,0.57,26.92,84.14,1008.7
2022-11-21,0.83,26.68,87.2,1008.4000000000001
2022-11-22,0.04,26.95,84.81,1008.0
2022-11-23,0.01,27.16,83.25,1007.5
2022-11-24,0.01,27.24,81.55,1006.9
2022-11-25,0.01,26.83,82.15,1007.5
2022-11-26,0.01,26.81,85.34,1008.0
2022-11-27,6.63,26.67,87.26,1006.5
2022-11-28,5.73,26.69,87.67,1005.3
2022-11-29,3.61,26.46,87.24,1005.3
2022-11-30,4.41,26.76,84.89,1005.8
2022-12-01,38.23,26.86,80.56,1006.7
2022-12-02,0.04,26.89,84.13,1005.8
2022-12-03,0.44,26.99,86.87,1005.6
2022-12-04,0.17,26.87,86.71,1006.5
2022-12-05,0.33,26.94,88.38,1008.0
2022-12-06,0.34,26.69,89.85,1007.6
2022-12-07,0.0,26.81,87.21,1007.6
2022-12-08,0.0,26.89,84.25,1007.6999999999999
2022-12-09,0.0,26.95,81.32,1008.6
2022-12-10,0.0,26.23,82.64,1008.9
2022-12-11,0.0,26.58,78.27,1008.1999999999999
2022-12-12,0.06,26.94,84.73,1007.8
2022-12-13,0.09,26.48,87.57,1008.3
2022-12-14,0.07,26.75,86.91,1007.6999999999999
2022-12-15,0.11,26.55,89.29,1007.3000000000001
2022-12-16,0.06,26.31,89.55,1006.7
2022-12-17,0.0,26.57,86.93,1006.7
2022-12-18,0.0,26.35,86.09,1008.3
2022-12-19,0.0,26.21,80.09,1007.5
2022-12-20,0.0,26.6,78.43,1007.4
2022-12-21,0.0,25.36,83.87,1008.1999999999999
2022-12-22,0.0,25.81,85.14,1009.5999999999999
2022-12-23,0.0,25.58,72.28,1009.7
2022-12-24,0.0,24.66,66.69,1009.5999999999999
2022-12-25,0.0,24.29,67.42,1009.7
2022-12-26,0.0,24.33,69.49,1009.8000000000001
2022-12-27,0.0,24.64,70.2,1010.0
2022-12-28,0.0,24.8,72.08,1009.5
2022-12-29,0.0,24.35,71.4,1009.5
2022-12-30,0.0,24.8,68.09,1009.5
